0,1,2,3,4,5,6,7
597092.8470722792,27602.7090245435,36834.01725489177,8.471973718152434,617015.9425813052,81779.42191199111,36834.01725489177,2.2296357330136356
504258.9547827486,29563.218645245328,18906.956465259464,8.996274818524462,542991.7056013434,49439.27958652048,18906.956465259464,4.982876747381754
564863.5298464136,56177.31934663168,60571.539859610995,1.4573759886954614,604533.4387781679,82756.5746203629,60571.539859610995,0.253236659076353
459387.3257620904,46412.178599743085,25477.661188455782,8.494599214221902,484702.4823875905,43288.707800327225,25477.661188455782,8.013563348214749
406654.0964729005,58267.24823033338,58136.84326872909,9.820198444802912,454865.8682784291,48625.619305920976,58136.84326872909,4.823806939302837
431645.2519734186,43495.03736458388,41414.8248212618,2.1868062679506246,450806.12245969457,51313.185035762566,41414.8248212618,1.6154525790690144
595374.4893024398,22155.657415760164,32201.16505728784,5.4572002886057485,621244.5592490968,88849.09216222438,32201.16505728784,1.0719812057721039
513883.9570433104,28729.203680184677,19259.450806471592,2.5361006065412326,538627.3778404434,53330.119277711055,19259.450806471592,1.1620893488148767
419248.1902991078,73656.96265722503,97732.63563480976,5.923337104196649,442746.87739484943,38710.607923091906,97732.63563480976,1.5351867684787213
462363.43244255456,38735.348152513754,23797.442495930125,9.56432949359678,503108.44117838785,64140.717613549394,23797.442495930125,1.9749143347975562
445437.6358669885,41858.3341917986,44042.93412190708,4.581544416040126,472503.4049933661,49682.168944573146,44042.93412190708,0.8962663639458555
509338.8365894471,75420.00437742904,84166.28038886511,8.35000256286737,551437.2338554853,78266.8947014283,84166.28038886511,1.5482213484217682
438015.08371250104,59477.503874921626,34213.01654182062,7.721429755568293,462584.73420290306,31665.397737063835,34213.01654182062,3.0695052099166964
425602.52855606657,73816.99603061093,94315.34763002483,5.212075063651186,457283.7842580226,64437.937282469036,94315.34763002483,4.596530666747151
504780.70922041615,21026.027450983427,14193.6607629112,7.648325207018871,522936.3361339649,85140.64300928608,14193.6607629112,3.9888990483710582
568756.2754182857,28885.861622018354,31010.620889604328,7.44763205219011,579425.3609040534,56752.90096069468,31010.620889604328,4.2662369721714235
596895.7330825356,30238.7742166762,42140.90617279744,9.969913515106986,616062.0329209187,80869.09132707532,42140.90617279744,8.339105321766572
590490.863840659,46492.521400528814,62746.880051488406,2.0719810481387144,640257.8296604707,75380.64968017626,62746.880051488406,1.4238540023436486
572846.8030344284,42653.88223108911,44388.84273329797,4.818812890865592,609579.4097307322,49986.55331836348,44388.84273329797,2.702872348024116
449777.9246936375,24839.362447916687,33105.402441657585,2.7948784894456336,463634.3380064021,41813.69239024728,33105.402441657585,1.5666805602260727
457002.96176689334,71686.8350867798,64188.10841163532,7.51493494269859,479743.792062826,38044.88204296623,64188.10841163532,5.639402394641067
597444.5678426267,55310.3164690209,76353.23236833158,4.377204080636416,614966.1744974887,47564.624224261584,76353.23236833158,0.37562719248956083
448243.6442076367,54738.22034313516,34582.27535849789,3.717638470092841,483666.1609012609,79292.055691143,34582.27535849789,1.3212074375009242
497493.7855252288,27245.957684744244,17145.98528931752,1.5571934913149643,532743.937919779,53610.759276968434,17145.98528931752,0.3620294574019776
571783.8574993641,36967.87828807652,22776.94064820264,3.357984916886171,583052.0144810048,56305.586329142636,22776.94064820264,1.3752705023044756
524840.5965950284,20747.322104840685,18227.001194167548,5.244850064820168,542024.3173930174,37072.89143640821,18227.001194167548,4.648735157593963
460184.9874560444,77821.7909224297,46887.979856318314,3.0209864363086116,471157.1468265158,62870.40857373464,46887.979856318314,0.329102473563224
408699.2949822368,77566.22379458988,109426.50076683419,4.5762205759864045,439169.7816533666,72286.0524744543,109426.50076683419,1.5938156826848344
479361.6226661394,23748.250947025692,20228.021333813987,8.765836065382423,518564.38345395145,63070.21600939083,20228.021333813987,5.8713715282863745
410145.07718645246,36940.324752111585,31042.873380242305,6.9441233321295694,447180.07172646874,57062.79127062803,31042.873380242305,2.530010492096251
428667.4954793786,65472.79310352194,35303.493620344816,2.0321695522321446,469832.722321515,86968.19112845804,35303.493620344816,1.6866110299729622
411660.7696161952,30974.449483485423,44005.54322896376,8.219653330161247,430795.2170504859,50133.25135664275,44005.54322896376,0.6166596455158411
573688.1336918343,54562.09670458512,73967.2404700253,6.090034831086058,613989.5801153847,85550.59128595624,73967.2404700253,5.105651331993859
465539.10293955373,56295.316371187,70846.16625787933,9.985427860712647,507314.9520907051,34175.9516554741,70846.16625787933,1.7825514225103378
429912.0363518666,53824.14047971839,70492.5655562422,3.6068503999631094,475382.9046138831,54521.42454249134,70492.5655562422,0.354495956972017
536256.8830128473,30472.53182530261,27970.64718476247,1.2352130999930755,586130.2928112935,56410.81500052964,27970.64718476247,0.41330107532367377
413987.1401539253,66070.54604662783,70443.97412543198,7.175373334139673,434663.5488079923,34057.9092520777,70443.97412543198,2.5906666985030466
585384.1278756848,32950.739759486656,30336.9466424395,4.899470770637688,632964.2536087835,59040.527045485214,30336.9466424395,1.2178232761967769
536705.6711656037,47836.10413523056,27101.172428914128,9.105663645705366,551627.9699278304,82088.38662751808,27101.172428914128,5.277625411961739
528045.0974983516,49584.49271283441,59616.8460378733,1.6938311972168547,567978.5981608861,74102.55672255374,59616.8460378733,0.5538255701588221
552142.9000071866,73694.07855200881,54075.686073069795,4.3744612879716955,577712.556780918,89495.02982188168,54075.686073069795,3.8963469663754284
432854.85637111374,40394.05565424943,47316.03539228273,1.6846557042146915,474452.2176411234,80567.62056012763,47316.03539228273,1.6132202562178284
521415.1539250803,70057.85088294005,91888.62428437137,2.000419588297284,567096.0919860165,88806.63778466737,91888.62428437137,1.5137257161154825
